Item_ID,Standard_SVD_Rating
B000W08K0U,0.3511
B001229BCS,0.2292
B000WLH8OI,0.2222
B001B65PAC,0.2178
B001NB3C1O,0.2174
B0012EJILK,0.2174
B000VZJPJ6,0.2124
B00136JHEK,0.2061
B000W1UAMA,0.2026
B0017WGN1K,0.2026
B0011Z8MIU,0.2026
B00137X358,0.2026
B000W25KEW,0.201
B00A7ZXGXQ,0.1989
B00136RTPE,0.1983
B00122WK08,0.1945
B00136LO78,0.1925
B00OQZ4790,0.1917
B009B50VC2,0.1904
B00137II3A,0.1903
B0017TAR88,0.1894
B00122D76O,0.1889
B00165TQEO,0.1881
B000W0V2XW,0.188
B000W177O4,0.1871
B00140I2K0,0.1859
B00TQTHUEA,0.1851
B00157I3KQ,0.1834
B00123FSQ0,0.1812
B0013D7TW0,0.1785
B004RSCT3W,0.1739
B0013GH20Q,0.1523
B0012251OK,0.1523
B0013GEZB0,0.1523
B000XO0LKW,0.1523
B009E2PKZ0,0.118
B001GP91NA,0.118
B00ZRRB8WA,0.1151
B00E20KQKI,0.1146
B000V64UXQ,0.1146
B0018QVOQ4,0.1111
B0064ZCI5U,0.1111
B001NTZWW8,0.1111
B001TMS0B4,0.109
B006G21UUA,0.109
B0011ZUMLK,0.1087
B000V6577O,0.1073
B00NB1I73W,0.1073
B01EYBGW4S,0.1067
B014DIY9JC,0.1067
