Target_User,Neighbor_User_ID,Similarity_Score
A2H3JURQZOHVMB,A8FKME502E5B0,0.9179
A2H3JURQZOHVMB,A2901ODCE3J5HC,0.9101
A2H3JURQZOHVMB,A1PHLZYNXAAV31,0.8982
A2H3JURQZOHVMB,A34P9FW14SAGXF,0.879
A2H3JURQZOHVMB,AKEKH0KGH6QWO,0.8277
A2H3JURQZOHVMB,A2Y9XYWDXLFTXX,0.8226
A2H3JURQZOHVMB,A3R5LVZCQUEU6A,0.8197
A2H3JURQZOHVMB,A300JMW5AMQ4UR,0.8133
A2H3JURQZOHVMB,A309IF65QXZU3O,0.8048
A2H3JURQZOHVMB,A3CTD32536ABTX,0.7985
A2H3JURQZOHVMB,A2BA2IRIA0JLVN,0.7975
A2H3JURQZOHVMB,AW88HMROMQBP1,0.7837
A2H3JURQZOHVMB,A1URE3U7BK027O,0.7836
A2H3JURQZOHVMB,A1C0IX37FKM0CM,0.7815
A2H3JURQZOHVMB,ATDC0FYLZ07T1,0.7752
A2H3JURQZOHVMB,A85283X38TKU8,0.7733
A2H3JURQZOHVMB,A39K9GDTIZ0933,0.77
A2H3JURQZOHVMB,A3PP96NV0KYINC,0.7672
A2H3JURQZOHVMB,AFY118HH4OG7F,0.7665
A2H3JURQZOHVMB,A1WZL59SHNDPQM,0.7652
A2H3JURQZOHVMB,A2VV8ISD1EYT6E,0.7649
A2H3JURQZOHVMB,A1Y75IZD1835HB,0.7562
A2H3JURQZOHVMB,A16QI8XW5VAV5P,0.7548
A2H3JURQZOHVMB,A3BF897YSZR98F,0.7524
A2H3JURQZOHVMB,AEHS7AFG0NF6Y,0.7519
A2H3JURQZOHVMB,A1EQ4Q3CNUH267,0.7505
A2H3JURQZOHVMB,A6H386LTX2BS7,0.7407
A2H3JURQZOHVMB,ATZWCUGUT4NF0,0.7388
A2H3JURQZOHVMB,A1XOEF2CB0PO4X,0.7317
A2H3JURQZOHVMB,A3QYMIAFYECN4Y,0.7304
A2H3JURQZOHVMB,A9U7K46XZ8VZA,0.7238
A2H3JURQZOHVMB,A19T9VM3RDUJBF,0.7225
A2H3JURQZOHVMB,A3AOOJISN2V5F9,0.7102
A2H3JURQZOHVMB,A3NP1OJ9SW74Q8,0.7097
A2H3JURQZOHVMB,A79ZZJYYRPN0X,0.7077
A2H3JURQZOHVMB,A1ISZKLP9UCX8P,0.7077
A2H3JURQZOHVMB,A13HNMTM5YIZ0E,0.7074
A2H3JURQZOHVMB,A385W15T6KW1LT,0.7039
A2H3JURQZOHVMB,A1KCZO1JX0BX3M,0.7025
A2H3JURQZOHVMB,A14T3IEJX18CNZ,0.7013
A2H3JURQZOHVMB,A2D9HQQ7DOC06S,0.6959
A2H3JURQZOHVMB,A34ZED9W06OMQ4,0.6915
A2H3JURQZOHVMB,A1AFXI92345RXN,0.6891
A2H3JURQZOHVMB,A2CKB680FT8AYK,0.6875
A2H3JURQZOHVMB,A2TQE11JKXW8B3,0.6865
A2H3JURQZOHVMB,A3UGGSC3T3YB21,0.6856
A2H3JURQZOHVMB,A23M4BV6I1GGYC,0.6853
A2H3JURQZOHVMB,A2LHCHYXYO7IIJ,0.6807
A2H3JURQZOHVMB,A2MUNCI9WZ7O2R,0.677
A2H3JURQZOHVMB,AWTHFDSFA9WR9,0.6728
