book_id,ni,ri,group
1,22806,4.28,G10
2,21850,4.35,G10
3,16931,3.21,G9
4,19088,4.33,G10
5,16604,3.77,G10
6,11264,4.19,G10
7,15558,4.15,G10
8,14472,3.71,G10
9,13451,3.6,G10
10,13445,4.19,G10
11,12698,4.17,G10
12,11780,4.03,G10
13,14693,4.05,G10
14,14328,3.83,G10
15,12101,4.06,G10
16,14382,3.99,G10
17,16549,4.13,G10
18,15855,4.42,G10
19,12530,4.27,G10
20,15953,3.85,G10
21,15258,4.36,G10
22,11677,3.63,G10
23,15657,4.23,G10
24,15523,4.43,G10
25,15304,4.53,G10
26,13072,3.62,G10
27,15081,4.44,G10
28,13556,3.66,G10
29,11578,3.71,G10
30,12105,3.91,G10
31,12727,4.38,G10
32,11921,3.84,G10
33,11304,4.0,G10
34,7724,3.09,G9
35,8916,3.6,G10
36,10949,4.07,G10
37,13089,4.1,G10
38,9977,3.86,G10
39,10692,4.34,G10
40,7885,3.26,G9
41,7606,3.99,G10
42,10649,4.0,G10
43,10308,4.03,G10
44,6717,3.73,G10
45,10175,3.83,G10
46,10361,3.96,G10
47,10394,4.31,G10
48,10312,3.93,G10
49,9712,3.22,G9
50,8297,4.31,G10
51,6504,3.85,G10
52,9620,3.38,G9
53,7040,3.61,G10
54,9960,4.11,G10
55,9612,3.89,G10
56,9433,3.35,G9
57,8383,3.93,G10
58,9323,3.83,G10
59,9391,4.11,G10
60,9035,3.79,G10
61,9090,3.71,G10
62,8192,3.89,G10
63,9584,3.73,G10
64,7192,3.84,G10
65,8179,4.03,G10
66,7714,4.22,G10
67,7662,4.22,G10
68,5990,3.98,G10
69,8263,3.86,G10
70,8849,4.26,G10
71,7727,3.71,G10
72,6861,4.12,G10
73,6313,3.62,G10
74,4682,3.87,G10
75,6229,3.64,G10
76,7110,3.99,G10
77,6039,3.92,G10
78,4723,3.47,G9
79,6301,3.72,G10
80,6848,4.16,G10
81,5847,4.14,G10
82,4921,3.81,G10
83,6592,3.78,G10
84,6601,3.92,G10
85,7002,4.34,G10
86,5844,3.94,G10
87,6466,4.27,G10
88,4247,3.71,G10
89,6102,4.29,G10
90,6190,3.95,G10
91,5014,3.75,G10
92,4658,3.89,G10
93,7626,4.08,G10
94,5492,3.94,G10
95,6406,3.93,G10
96,4185,3.44,G9
97,6615,3.86,G10
98,7563,4.1,G10
99,4452,3.45,G9
100,6343,3.98,G10
101,5199,3.98,G10
102,6401,4.26,G10
103,5489,4.2,G10
104,6779,3.86,G10
105,6300,3.38,G9
106,5346,3.88,G10
107,3760,3.84,G10
108,3792,3.39,G9
109,4750,4.12,G10
110,6854,4.3,G10
111,5257,3.54,G10
112,5897,4.16,G10
113,6944,3.91,G10
114,5467,3.8,G10
115,5615,3.97,G10
116,7214,3.85,G10
117,8109,4.04,G10
118,6212,3.88,G10
119,7543,3.96,G10
120,4180,3.59,G10
121,5274,3.83,G10
122,6598,3.37,G9
123,6135,3.83,G10
124,5554,3.94,G10
125,6899,4.0,G10
126,5864,4.13,G10
127,3709,3.84,G10
128,1731,4.09,G10
129,6307,4.14,G10
130,6273,3.6,G10
131,7458,3.89,G10
132,5495,3.67,G10
133,6536,4.19,G10
134,4451,4.13,G10
135,6237,4.42,G10
136,5326,3.7,G10
137,5297,4.06,G10
138,7667,3.33,G9
139,4868,3.65,G10
140,6702,4.08,G10
141,5408,4.31,G10
142,5672,4.17,G10
143,6082,4.28,G10
144,4577,4.44,G10
145,4405,3.42,G9
146,5275,3.87,G10
147,3186,3.85,G10
148,5171,3.77,G10
149,3512,3.76,G10
150,5358,4.04,G10
151,4056,4.04,G10
152,2746,3.68,G10
153,4415,4.01,G10
154,6421,3.9,G10
155,6478,4.33,G10
156,2877,3.58,G10
157,5249,4.25,G10
158,6034,4.05,G10
159,4021,4.19,G10
160,6305,3.68,G10
161,6331,4.42,G10
162,4841,3.83,G10
163,3128,4.2,G10
164,3756,4.05,G10
165,5705,3.97,G10
166,3538,3.51,G10
167,5681,3.99,G10
168,5973,4.26,G10
169,2471,3.88,G10
170,4041,3.33,G9
171,5602,3.92,G10
172,5073,3.93,G10
173,5076,3.84,G10
174,3559,3.38,G9
175,3881,4.31,G10
176,4853,4.0,G10
177,4679,4.05,G10
178,5178,3.84,G10
179,5302,3.96,G10
180,4610,3.85,G10
181,4467,4.06,G10
182,3067,3.48,G9
183,3366,4.15,G10
184,4810,4.22,G10
185,5154,3.93,G10
186,4759,3.89,G10
187,3600,3.73,G10
188,5086,4.19,G10
189,5316,4.38,G10
190,3998,3.84,G10
191,3825,4.28,G10
192,3948,4.5,G10
193,3428,4.02,G10
194,4034,3.44,G9
195,4904,4.06,G10
196,3917,4.08,G10
197,4409,3.82,G10
198,5531,4.11,G10
199,3412,3.95,G10
200,4011,4.14,G10
201,4213,3.4,G9
202,2601,3.71,G10
203,2487,3.98,G10
204,5006,3.97,G10
205,5764,3.87,G10
206,2903,3.89,G10
207,3365,3.86,G10
208,3777,4.01,G10
209,3480,4.17,G10
210,3125,3.98,G10
211,3371,3.78,G10
212,5052,3.78,G10
213,4463,3.68,G10
214,3717,4.13,G10
215,4239,4.24,G10
216,3889,4.06,G10
217,4606,3.9,G10
218,2048,3.89,G10
219,5306,4.14,G10
220,1818,4.06,G10
221,2834,3.83,G10
222,3091,4.0,G10
223,3851,3.68,G10
224,2541,3.49,G9
225,4576,4.27,G10
226,3950,3.78,G10
227,4260,3.81,G10
228,3331,3.24,G9
229,4722,3.99,G10
230,4274,4.04,G10
231,3995,4.02,G10
232,4229,3.88,G10
233,4459,3.77,G10
234,2854,3.93,G10
235,4003,3.8,G10
236,3479,4.09,G10
237,4118,3.77,G10
238,3724,3.51,G10
239,3720,3.94,G10
240,3608,3.55,G10
241,3646,4.05,G10
242,2985,3.89,G10
243,4199,3.91,G10
244,3549,3.74,G10
245,4295,3.93,G10
246,2583,3.56,G10
247,2073,3.77,G10
248,4898,3.92,G10
249,3519,3.85,G10
250,2648,4.45,G10
251,3871,4.07,G10
252,2734,4.04,G10
253,3413,3.79,G10
254,2411,3.54,G10
255,4227,3.49,G9
256,3284,3.55,G10
257,3298,3.97,G10
258,3531,4.11,G10
259,3031,3.72,G10
260,1767,3.89,G10
261,2545,3.64,G10
262,3705,4.08,G10
263,3177,3.92,G10
264,4161,3.73,G10
265,4460,4.19,G10
266,2644,3.85,G10
267,3666,4.47,G10
268,3837,3.69,G10
269,1782,3.81,G10
270,4220,4.14,G10
271,4810,3.98,G10
272,3314,3.93,G10
273,3346,3.95,G10
274,2772,4.27,G10
275,2357,3.59,G10
276,3026,4.08,G10
277,4015,3.92,G10
278,3916,4.32,G10
279,3230,3.69,G10
280,2549,3.84,G10
281,4067,3.79,G10
282,3132,3.94,G10
283,3532,4.17,G10
284,3596,3.49,G9
285,3244,3.95,G10
286,1834,3.82,G10
287,3656,3.64,G10
288,2689,4.02,G10
289,4753,3.99,G10
290,2606,3.71,G10
291,3575,4.24,G10
292,4080,4.01,G10
293,3959,3.8,G10
294,2437,4.31,G10
295,3737,4.21,G10
296,3057,4.26,G10
297,3532,4.11,G10
298,3659,3.77,G10
299,1643,3.67,G10
300,2694,4.03,G10
301,4377,3.39,G9
302,1734,3.92,G10
303,1665,3.16,G9
304,3312,4.04,G10
305,3748,3.69,G10
306,3850,3.7,G10
307,3026,4.48,G10
308,2065,3.63,G10
309,3140,3.92,G10
310,2307,3.55,G10
311,3721,4.12,G10
312,3401,4.09,G10
313,3363,3.87,G10
314,2919,3.76,G10
315,1826,3.4,G9
316,3029,4.01,G10
317,3067,4.05,G10
318,3378,4.0,G10
319,2744,4.07,G10
320,3403,3.89,G10
321,4000,3.95,G10
322,3612,4.09,G10
323,3120,3.91,G10
324,2409,4.07,G10
325,3868,4.13,G10
326,3449,3.77,G10
327,2225,4.02,G10
328,2654,3.94,G10
329,2488,4.15,G10
330,2924,4.03,G10
