cluster,size,size_category,avg_corated_items,prediction_potential,efficiency_score,quality_score,combined_score
0,2419,Medium (1K-10K),0.6,6.0,0.9895092460881935,0.0045385779122541605,0.49702391200022383
2,11308,Large (10K-50K),5.9,59.0,0.9509593033341429,0.04462934947049925,0.4977943264023211
4,37431,Large (10K-50K),0.0,0.0,0.8376687020782014,0.0,0.4188343510391007
5,4470,Medium (1K-10K),3.3,33.0,0.9806144398570587,0.024962178517397883,0.5027883091872283
9,3458,Medium (1K-10K),0.6,6.0,0.9850032959789057,0.0045385779122541605,0.49477093694557994
10,7949,Medium (1K-10K),0.3,3.0,0.9655266627346216,0.0022692889561270802,0.48389797584537436
13,417,Small (<1K),0.0,0.0,0.9981915484161954,0.0,0.4990957742080977
15,5604,Medium (1K-10K),0.6,6.0,0.975696492384554,0.0045385779122541605,0.4901175351484041
16,4021,Medium (1K-10K),3.1,31.0,0.9825616695000521,0.023449319213313165,0.5030054943566826
17,470,Small (<1K),0.0,0.0,0.9979616972556639,0.0,0.49898084862783193
18,4039,Medium (1K-10K),1.7,17.0,0.9824836068417583,0.012859304084720122,0.4976714554632392
20,8422,Medium (1K-10K),0.0,0.0,0.9634753495472366,0.0,0.4817376747736183
21,2248,Medium (1K-10K),1.1,11.0,0.9902508413419838,0.008320726172465962,0.4992857837572249
22,6875,Medium (1K-10K),17.1,100.0,0.9701844013461471,0.12934947049924359,0.5497669359226953
23,47927,Large (10K-50K),0.9,9.0,0.7921494986642612,0.006807866868381241,0.3994786827663212
25,2546,Medium (1K-10K),0.3,3.0,0.9889584706657878,0.0022692889561270802,0.49561387981095745
26,2390,Medium (1K-10K),0.3,3.0,0.9896350137043334,0.0022692889561270802,0.49595215133023024
27,4297,Medium (1K-10K),0.6,6.0,0.9813647087395483,0.0045385779122541605,0.49295164332590125
29,5145,Medium (1K-10K),0.1,1.0,0.9776870901710439,0.0007564296520423602,0.48922175991154315
31,230584,Very Large (>50K),4.7,47.0,0.0,0.03555219364599093,0.017776096822995465
32,3774,Medium (1K-10K),64.5,100.0,0.983632862644416,0.4878971255673223,0.7357649941058692
33,2217,Medium (1K-10K),1.4,14.0,0.990385282586823,0.01059001512859304,0.500487648857708
35,2938,Medium (1K-10K),9.7,97.0,0.9872584394407244,0.07337367624810892,0.5303160578444167
36,1370,Medium (1K-10K),0.2,2.0,0.9940585643409777,0.0015128593040847204,0.49778571182253123
38,5995,Medium (1K-10K),0.1,1.0,0.9740007979738403,0.0007564296520423602,0.48737861381294134
41,4132,Medium (1K-10K),0.1,1.0,0.9820802831072407,0.0007564296520423602,0.49141835637964154
43,12137,Large (10K-50K),1.2,12.0,0.9473640842382819,0.009077155824508321,0.4782206200313951
44,1923,Medium (1K-10K),132.2,100.0,0.9916603060056205,1.0,0.9958301530028102
46,2710,Medium (1K-10K),39.0,100.0,0.9882472331124449,0.2950075642965205,0.6416273987044827
47,17018,Large (10K-50K),12.2,100.0,0.9261960933976339,0.09228441754916793,0.5092402554734009
48,8687,Medium (1K-10K),3.0,30.0,0.962326093744579,0.022692889561270805,0.4925094916529249
49,2071,Medium (1K-10K),0.4,4.0,0.9910184574818721,0.0030257186081694407,0.4970220880450208
