cluster,n_items,num_raters_mean,num_raters_std,num_raters_min,num_raters_max,avg_rating_mean,avg_rating_std,avg_rating_min,avg_rating_max,std_rating_mean,std_rating_std,std_rating_min,std_rating_max
0,2419,5.4857,1.6577,4,14,4.5715,0.0681,4.43,4.67,0.5473,0.0242,0.5045,0.5774
2,11308,1.0161,0.1373,1,4,2.9999,0.0047,2.75,3.0,0.0002,0.0094,0.0,0.5
4,37431,1.0392,0.2109,1,6,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
5,4470,7.2868,4.3891,3,22,4.3562,0.132,3.86,4.69,1.2097,0.0882,1.0328,1.4654
9,3458,7.7429,0.7887,7,9,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
10,7949,4.0,0.0,4,4,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
13,417,3.2974,5.4197,2,59,1.852,0.4761,1.21,2.67,0.7587,0.1649,0.5,1.2649
15,5604,3.9549,3.2839,2,27,4.0398,0.1484,3.17,4.43,1.4322,0.0661,1.1934,1.633
16,4021,6.7232,3.4291,4,17,4.4672,0.1377,4.06,4.75,0.9426,0.0689,0.7703,1.0894
17,470,3.1787,5.7734,2,73,1.0084,0.0416,1.0,1.27,0.0209,0.1007,0.0,0.7552
18,4039,5.8326,5.0683,2,62,3.7804,0.3498,2.4,4.27,1.7161,0.1678,1.3452,2.0
20,8422,1.0,0.0,1,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
21,2248,8.2189,1.7731,6,14,4.6337,0.1004,4.18,4.78,0.7478,0.0513,0.6504,0.866
22,6875,12.0399,4.353,7,23,4.8725,0.0496,4.67,4.96,0.3464,0.0586,0.2085,0.5164
23,47927,2.0,0.0,2,2,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
25,2546,6.0,0.0,6,6,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
26,2390,2.0,0.0,2,2,3.0,0.0,3.0,3.0,2.8284,0.0,2.8284,2.8284
27,4297,5.0,0.0,5,5,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
29,5145,3.4622,3.3375,2,59,3.1336,0.5499,1.5,3.67,2.0686,0.2329,1.3229,2.3094
31,230584,1.0,0.0,1,1,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
32,3774,42.142,13.9696,23,79,4.8332,0.0989,4.4,5.0,0.4532,0.1911,0.0,0.9441
33,2217,13.9323,4.2695,10,31,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
35,2938,18.4074,5.0556,11,33,4.7187,0.0996,4.28,4.88,0.6528,0.1069,0.449,0.9428
36,1370,3.5818,1.2582,3,13,4.3095,0.0926,3.75,4.4,0.5671,0.0385,0.378,0.7177
38,5995,3.1179,0.901,3,10,4.6722,0.0167,4.67,4.8,0.5783,0.0071,0.5774,0.6325
41,4132,1.0109,0.1106,1,3,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
43,12137,2.0124,0.2381,2,7,4.4993,0.0141,4.17,4.5,0.7072,0.0025,0.7071,0.7559
44,1923,191.1305,224.0576,74,3411,4.6612,0.2709,1.44,5.0,0.7371,0.2867,0.0,1.9215
46,2710,33.4771,13.5136,16,77,4.452,0.2282,3.11,4.81,1.0524,0.1736,0.7413,1.7525
47,17018,3.0,0.0,3,3,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
48,8687,5.2785,1.5787,4,12,4.7743,0.0376,4.67,4.83,0.4657,0.0348,0.4082,0.5
49,2071,3.2863,2.0505,2,25,3.6651,0.3451,1.8,4.0,0.8843,0.1836,0.5,1.3663
