user_id,avg_common,max_common,min_common_nonzero,feature_vector
0001377647,0.0010776507214272884,2.0,1.0,"[0.0011, 2, 1]"
0001388703,0.0008182162884910894,2.0,1.0,"[0.0008, 2, 1]"
0001526146,0.0005188688658723982,2.0,1.0,"[0.0005, 2, 1]"
0001527134,0.0003592169071424295,3.0,1.0,"[0.0004, 3, 1]"
0006882919,3.991298968249217e-05,1.0,1.0,"[0.0, 1, 1]"
0006920055,0.0010576942265860423,2.0,1.0,"[0.0011, 2, 1]"
0006935257,0.0004390428865074138,3.0,1.0,"[0.0004, 3, 1]"
0545109620,5.986948452373825e-05,2.0,1.0,"[0.0001, 2, 1]"
0615165982,0.0,0.0,0.0,"[0.0, 0, 0]"
0615897398,0.0,0.0,0.0,"[0.0, 0, 0]"
0760103453,5.986948452373825e-05,1.0,1.0,"[0.0001, 1, 1]"
0760131694,0.0,0.0,0.0,"[0.0, 0, 0]"
0760135886,0.0004989123710311521,3.0,1.0,"[0.0005, 3, 1]"
0763420565,0.0,0.0,0.0,"[0.0, 0, 0]"
0819815802,0.0,0.0,0.0,"[0.0, 0, 0]"
0830838015,0.00041908639166616775,2.0,1.0,"[0.0004, 2, 1]"
0875420230,3.991298968249217e-05,1.0,1.0,"[0.0, 1, 1]"
0879465298,3.991298968249217e-05,1.0,1.0,"[0.0, 1, 1]"
0899575935,0.00019956494841246085,1.0,1.0,"[0.0002, 1, 1]"
090100829X,0.0,0.0,0.0,"[0.0, 0, 0]"
0966484525,3.991298968249217e-05,1.0,1.0,"[0.0, 1, 1]"
097128301X,0.0,0.0,0.0,"[0.0, 0, 0]"
0971680779,0.0006186513400786286,2.0,1.0,"[0.0006, 2, 1]"
0974604712,1.9956494841246084e-05,1.0,1.0,"[0.0, 1, 1]"
0983086702,0.0,0.0,0.0,"[0.0, 0, 0]"
0984015965,5.986948452373825e-05,3.0,3.0,"[0.0001, 3, 3]"
098401599X,5.986948452373825e-05,3.0,3.0,"[0.0001, 3, 3]"
0990822915,0.0013370851543634875,2.0,1.0,"[0.0013, 2, 1]"
1189182785,0.0012971721646809955,8.0,1.0,"[0.0013, 8, 1]"
1424338441,1.9956494841246084e-05,1.0,1.0,"[0.0, 1, 1]"
1561025089,1.9956494841246084e-05,1.0,1.0,"[0.0, 1, 1]"
1570199280,0.0,0.0,0.0,"[0.0, 0, 0]"
1577346408,0.0,0.0,0.0,"[0.0, 0, 0]"
1580470319,0.00017960845357121476,2.0,1.0,"[0.0002, 2, 1]"
1582703272,5.986948452373825e-05,1.0,1.0,"[0.0001, 1, 1]"
1584591641,0.00027939092777744517,2.0,1.0,"[0.0003, 2, 1]"
1584593377,5.986948452373825e-05,2.0,1.0,"[0.0001, 2, 1]"
1596141867,9.978247420623042e-05,1.0,1.0,"[0.0001, 1, 1]"
1596846399,0.0,0.0,0.0,"[0.0, 0, 0]"
1602008175,0.0,0.0,0.0,"[0.0, 0, 0]"
1607439654,3.991298968249217e-05,1.0,1.0,"[0.0, 1, 1]"
1608613453,0.0,0.0,0.0,"[0.0, 0, 0]"
1609075722,3.991298968249217e-05,1.0,1.0,"[0.0, 1, 1]"
1680476416,0.0,0.0,0.0,"[0.0, 0, 0]"
1779485484,0.0002195214432537069,1.0,1.0,"[0.0002, 1, 1]"
1785871218,0.00013969546388872258,2.0,1.0,"[0.0001, 2, 1]"
1785871609,3.991298968249217e-05,1.0,1.0,"[0.0, 1, 1]"
1880878151,3.991298968249217e-05,1.0,1.0,"[0.0, 1, 1]"
1881405915,5.986948452373825e-05,1.0,1.0,"[0.0001, 1, 1]"
1882513274,0.00017960845357121476,2.0,1.0,"[0.0002, 2, 1]"
1893007502,3.991298968249217e-05,1.0,1.0,"[0.0, 1, 1]"
1929243464,5.986948452373825e-05,1.0,1.0,"[0.0001, 1, 1]"
