user_id,nu,rating_percentile,ru
1,117,60.41,3.59
2,65,3.43,4.42
3,91,18.53,1.74
4,134,81.37,3.77
5,100,31.41,4.04
6,90,17.43,4.32
7,155,94.35,3.82
8,98,28.34,3.57
9,132,79.43,3.45
10,128,75.17,3.75
11,120,64.93,3.59
12,113,53.95,3.87
13,96,25.28,4.2
14,108,45.15,3.51
15,97,26.8,4.32
16,68,4.12,3.74
17,61,2.82,4.02
18,109,46.94,3.42
19,119,63.38,3.42
20,90,17.43,4.21
21,61,2.82,3.31
22,120,64.93,3.62
23,127,74.02,3.33
24,128,75.17,3.72
25,60,2.69,4.02
26,103,36.43,3.99
27,121,66.36,3.88
28,120,64.93,4.01
29,98,28.34,4.24
30,92,19.77,4.16
31,121,66.36,3.5
32,123,69.06,3.98
33,99,29.83,4.44
34,101,33.07,3.79
35,176,99.05,3.11
36,136,83.15,3.68
37,81,9.52,4.31
38,61,2.82,3.51
39,91,18.53,3.49
40,129,76.32,3.84
41,149,91.83,4.3
42,54,2.09,3.8
43,103,36.43,3.58
44,129,76.32,3.86
45,45,1.31,3.96
46,119,63.38,4.1
47,133,80.37,3.82
48,80,8.92,3.71
49,133,80.37,3.41
50,106,41.57,4.09
51,116,58.85,4.02
52,114,55.65,3.7
53,49,1.64,2.82
54,121,66.36,3.71
55,127,74.02,3.69
56,95,23.83,3.85
57,113,53.95,3.5
58,82,10.17,3.74
59,66,3.61,3.5
60,122,67.7,3.75
61,139,85.57,3.71
62,110,48.74,3.71
63,70,4.69,3.44
64,89,16.38,3.96
65,109,46.94,4.23
66,70,4.69,3.2
67,104,38.15,3.71
68,51,1.8,2.98
69,91,18.53,4.11
70,63,3.11,3.65
71,98,28.34,3.68
72,109,46.94,3.92
73,105,39.84,4.11
74,62,2.96,3.79
75,163,96.82,3.48
76,109,46.94,3.61
77,64,3.27,3.42
78,74,6.1,3.43
79,123,69.06,4.12
80,64,3.27,2.66
81,100,31.41,3.51
82,133,80.37,4.05
83,95,23.83,4.62
84,86,13.32,3.36
85,114,55.65,3.89
86,70,4.69,3.76
87,114,55.65,3.31
88,128,75.17,3.27
89,149,91.83,3.69
90,107,43.36,3.93
91,62,2.96,2.74
92,101,33.07,3.61
93,119,63.38,3.87
94,57,2.36,2.91
95,132,79.43,3.98
96,119,63.38,3.54
97,103,36.43,3.56
98,96,25.28,3.88
99,86,13.32,3.1
100,80,8.92,3.41
101,114,55.65,3.94
102,76,6.94,3.57
103,107,43.36,3.5
104,123,69.06,3.45
105,127,74.02,3.91
106,71,5.01,3.1
107,123,69.06,3.16
108,104,38.15,3.62
109,132,79.43,3.79
110,68,4.12,3.32
111,128,75.17,3.87
112,103,36.43,4.12
113,105,39.84,3.98
114,67,3.84,3.61
115,85,12.38,3.65
116,134,81.37,3.98
117,56,2.28,3.77
118,113,53.95,3.13
119,137,83.99,4.37
120,77,7.39,4.29
121,113,53.95,3.35
122,91,18.53,3.2
123,106,41.57,3.97
124,128,75.17,3.79
125,109,46.94,4.03
126,102,34.73,3.69
127,106,41.57,4.26
128,106,41.57,3.83
129,98,28.34,3.99
130,120,64.93,3.79
131,70,4.69,2.91
132,96,25.28,3.81
133,131,78.46,3.89
134,92,19.77,4.05
135,114,55.65,3.74
136,94,22.45,4.07
137,113,53.95,3.78
138,101,33.07,4.26
139,96,25.28,3.75
140,131,78.46,3.66
141,96,25.28,4.11
142,110,48.74,4.25
143,159,95.75,3.6
144,92,19.77,3.76
145,157,95.08,3.41
146,144,88.95,3.6
147,80,8.92,3.46
148,134,81.37,3.65
149,109,46.94,4.11
150,94,22.45,4.37
151,96,25.28,3.7
152,98,28.34,3.8
153,149,91.83,3.0
154,102,34.73,3.84
155,65,3.43,3.12
156,96,25.28,4.01
157,85,12.38,4.02
158,148,91.33,3.93
159,70,4.69,3.49
160,81,9.52,3.7
161,93,21.1,3.41
162,79,8.36,3.42
163,116,58.85,3.79
164,136,83.15,3.8
165,104,38.15,3.47
166,108,45.15,3.95
167,107,43.36,3.6
168,95,23.83,3.91
169,110,48.74,4.2
170,115,57.27,3.31
171,85,12.38,4.06
172,102,34.73,4.06
173,176,99.05,3.46
174,116,58.85,3.84
175,102,34.73,3.86
176,68,4.12,3.88
177,100,31.41,3.73
178,173,98.71,3.84
179,138,84.81,3.41
180,111,50.5,3.56
